list_id,item,item_number,,,,
113,The Boundary,12,,,,
113,Roots Handmade Pizza,13,,,,
113,Corridor Brewery & Provisions,14,,,,
113,Small Bar,15,,,,
113,Fifty/50,16,,,,
113,Howells & Hood,17,,,,
113,Uncommon Ground,18,,,,
113,Parlor Pizza Bar,19,,,,
113,Ranalli’s,20,,,,
113,Sportsman’s Club,21,,,,
114,Backpack,1,,,,
114,Lunchbag,2,,,,
114,Number 2 Pencils,3,,,,
114,Handheld pencil sharpener,4,,,,
114,Eraser,5,,,,
114,5 inch blunt tip scissors,6,,,,
114,Glue stick,7,,,,
114,4 ounces glue,8,,,,
114,Tape,9,,,,
114,Crayons,10,,,,
114,Crayon sharpener,11,,,,
114,Colored pencils,12,,,,
114,Watercolor paint,13,,,,
114,Folders,14,,,,
114,Tissue,15,,,,
114,Antibacterial hand sanitizer,16,,,,
115,Practice good nonverbal communication,1,,,,
115,Dress for the job or company,2,,,,
115,Listen,3,,,,
115,Don't talk too much,4,,,,
115,Don't be too familiar,5,,,,
115,Use appropriate language,6,,,,
115,Don't be cocky,7,,,,
115,Take care to answer the questions,8,,,,
115,Ask questions,9,,,,
115,Don't appear desperate,10,,,,
116,CLOTHING,1,,,,
116,One casual outfit per day of travel (up to 4) per person,2,,,,
116,One dressy outfit,3,,,,
116,One sweater or jacket,4,,,,
116,"Underwear, delicates",5,,,,
116,Socks,6,,,,
116,Pajamas,7,,,,
116,Swimwear,8,,,,
116,Belt,9,,,,
116,Coat / Hat / Gloves / Scarf,10,,,,
116,TOILETRIES,11,,,,
116,Comb / Brush,12,,,,
116,Deodorant,13,,,,
116, Shampoo / Conditioner,13,,,,
116,Hairstyling products,14,,,,
116,Soap / Face wash,15,,,,
116,Hand sanitizer,16,,,,
116,Toothbrush / Toothpaste / Floss,17,,,,
116,Makeup,18,,,,
116,Razors,19,,,,
116,Shaving cream,20,,,,
116,Lotion,21,,,,
116,Glasses / Contact lens supplies,22,,,,
116,Personal hygiene supplies,23,,,,
116,Sunscreen,24,,,,
116,Nail clippers,25,,,,
116,MEDICATION,26,,,,
116,Aspirin / Pain reliever,27,,,,
116,Cold medicine,28,,,,
116,Prescriptions,29,,,,
116,ESSENTIALS,30,,,,
116,Credit / Debit cards / Cash,31,,,,
116,First aid kit (travel size),32,,,,
116,Camera / Video camera / Charger,33,,,,
116,Pillow case,34,,,,
116,Towel,35,,,,
116,Umbrella / Poncho,36,,,,
116,Everyday bag (for carrying day items),37,,,,
116,Sunglasses,38,,,,
116,Electrical converter,39,,,,
116,Travel alarm / Watch,40,,,,
116,Laundry bag,41,,,,
116,Cell phone / Charger,42,,,,
116,Laptop / Charger,43,,,,
116,DOCUMENTS,44,,,,
116,"Tickets (airplane, train, etc)",45,,,,
116,Itinerary,46,,,,
116,Reservations for hotel / Car rental,47,,,,
116,Directions to hotel,48,,,,
116,Passport,49,,,,
116,Identification,50,,,,
116,Address book,51,,,,
116,Guidebooks,52,,,,
116,Map,53,,,,
116,Travel journal,54,,,,
116,Lightweight book or magazine to read,55,,,,
116,AMUSEMENTS,56,,,,
116,Toys,57,,,,
116,Notebook / Washable colors,58,,,,
116,Travel size magnetic board for drawing,59,,,,
116,Playing / Flash cards,60,,,,
116,Books,61,,,,
116,Handheld electronic games,62,,,,
116,Coloring / Activity books / Pencil,63,,,,
116,Snacks,64,,,,
117,KITCHEN AND BATHROOM,1,,,,
117,Thoroughly clean refrigerator,2,,,,
117,Scrub out microwave,3,,,,
117,Wash cabinets,4,,,,
117,Clean oven,5,,,,
117,Wash stove burner covers and wells,6,,,,
117,Discard expired spices and food,7,,,,
117,Clean drawers and wash utensil tray,8,,,,
117,Throw away expired medicines,9,,,,
117,Wash trash cans,10,,,,
117,DUSTING AND DEEP CLEANING,11,,,,
117,Dust blinds,12,,,,
117,Dust shelves and pictures,13,,,,
117,Clean baseboard and ceiling moldings,14,,,,
117,Wash curtains,15,,,,
117,Shampoo or steam clean carpet,16,,,,
117,Wash upholstered furniture,17,,,,
117,Wash windows and window screens,18,,,,
117,"Clean light fixtures, globes, ceiling fans",19,,,,
117,Wash comforters,20,,,,
117,Wash pillows,21,,,,
118,Bernie's Lunch & Supper,1,,,,
118,Little Goat,2,,,,
118,Homestead,3,,,,
118,Taxim,4,,,,
118,Davanti Enoteca,5,,,,
118,III Forks Prime Steakhouse,6,,,,
118,Mahalo,7,,,,
118,Shanghai Terrace,8,,,,
118,Twisted Spoke,9,,,,
119,Dog,1,,,,
119,Cat,2,,,,
119,Rabbit,3,,,,
119,Guinea Pig,4,,,,
119,Turtle,5,,,,
119,Bird,6,,,,
119,Lizard,7,,,,
119,Hamster,8,,,,
119,Fish,9,,,,
120,Johnny B. Goode - Chuck Berry,1,,,,
120,Freebird - Lynyrd Skynyrd,2,,,,
120,Coyote - Joni Mitchell,3,,,,
120,Texas Flood - Stevie Ray Vaughan,4,,,,
120,Love Me Like a Man - Bonnie Raitt,5,,,,
120,Purple Rain - Prince,6,,,,
120,Sultans of Swing - Dire Straits,7,,,,
120,How Soon is Now? - The Smiths,8,,,,
120,"Poor Boy Blues - Chet Atkins, Mark Knopfler",9,,,,
120,Paranoid Android - Radiohead,10,,,,
120,How High the Moon - Les Paul,11,,,,
120,Born Under a Bad Sign - Albert King,12,,,,
120,Funk #49 - The James Gang,13,,,,
120,"Down by the River - Neil Young, Crazy Horse",14,,,,
120,Over Under Sideways Down - The Yardbirds,15,,,,
120,Soul Sacrifice - Santana,16,,,,
120,Stairway to Heaven - Led Zeppelin,17,,,,
120,White Room - Cream,18,,,,
120,Voodoo Child - Jimi Hendrix,19,,,,
120,Freeway Jam - Jeff Beck,20,,,,
120,Hotel California - Eagles,21,,,,
120,Kitty’s Back - Bruce Springsteen,22,,,,
120,When the Levee Breaks - Memphis Minnie,23,,,,
120,Alive- Pearl Jam,24,,,,
120,Whipping Post - The Allman Brothers Band,25,,,,
120,Rollin’ Stone - Muddy Waters,26,,,,
120,"Damn Right, I’ve Got the Blues - Buddy Guy",27,,,,
120,When My Train Pulls In - Gary Clarke Jr. ,28,,,,
120,Green River - Creedence Clearwater Revival,29,,,,
120,Barracuda - Heart,30,,,,
121,"Alameda, CA - Doggy-Style Hot Dogs - Umai",1,,,,
121,"San Francisco, CA - Los Shucos - Tia Juana",2,,,,
121,"Los Angeles, CA - Vicious Dogs - Hot Chick",3,,,,
121,"Portland, OR - Next Level Burger - Any hot dog!",4,,,,
121,"New Orleans, LA - Dat Dawg - Crawfish Étouffée Dog",5,,,,
121,"Las Vegas, NV - Cheffinis - Grandfather ",6,,,,
121,"Phoenix, AZ - Short Leash Hot Dogs - Bear",7,,,,
121,"Chicago, IL - Chicago’s Dog House - Rattlesnake and Rabbit",8,,,,
121,"Washington, D.C. - Swizzler Gourmet Hot Dogs - Leonardo Dog DaVinci",9,,,,
121,"New York City, NY - Crif Dog - John John Deragon",10,,,,
121,"Portland, ME - Blue Rooster Food Co. - Slawsky and Hutch",11,,,,
122,A great resume makes you look more professional.,1,,,,
122,A great resume is easier for the hiring manager to read.,2,,,,
122,A great resume speaks directly to each specific hiring manager.,3,,,,
122,A great resume gets you exposure on the internet.,4,,,,
122,A great resume can get you referred from one hiring manager to another.,5,,,,
122,A great resume gets your name circulating within your industry.,6,,,,
123,PERSONAL ITEMS,1,,,,
123,Drivers licenses,2,,,,
123,Credit or debit cards,3,,,,
123,Cash,4,,,,
123,Health insurance cards,5,,,,
123,Auto insurance cards,6,,,,
123,Rental/hotel confirmation information,6,,,,
123,CLOTHES,7,,,,
123,2 Swimsuits each,8,,,,
123,Swim cover ups,9,,,,
123,Underwear & bras,10,,,,
123,Socks,11,,,,
123,Belts,12,,,,
123,T-Shirts,13,,,,
123,Shorts,14,,,,
123,Sundresses/skirts,15,,,,
123,Jeans/capris,16,,,,
123,Dinner outfits,17,,,,
123,Light jackets/wrap,18,,,,
123,Running/tennis/workout clothes/workout bras,19,,,,
123,Running GPS,20,,,,
123,Pajamas,21,,,,
123,Robe,22,,,,
123,Flip-flops,23,,,,
123,Water shoes,24,,,,
123,Sandals,25,,,,
123,Sneakers – tennis & running,26,,,,
123,TOILETRIES,27,,,,
123,Soap,28,,,,
123,Shampoo,29,,,,
123,Conditioner,30,,,,
123,Toothbrush,31,,,,
123,Toothpaste,32,,,,
123,Floss,33,,,,
123,Lotion,34,,,,
123,Aloe,35,,,,
123,Deodorant,36,,,,
123,Razors,37,,,,
123,Flat iron,38,,,,
123,Hair dryer,39,,,,
123,Brushes/combs,40,,,,
123,Hair elastics and clips,41,,,,
123,Hair cream,42,,,,
123,Hair gel,43,,,,
123,Scarf,44,,,,
123,Shower Cap,45,,,,
123,Safety Pins,46,,,,
123,Contacts & case,47,,,,
123,Contact solution,48,,,,
123,Glasses,49,,,,
123,Make up bag,50,,,,
123,Feminine products,51,,,,
123,Jewelry/watches,52,,,,
123,Perfume/cologne,53,,,,
123,Cotton swabs/cotton balls,54,,,,
123,Nail polish,55,,,,
123,Nail polish remover,56,,,,
123,Nail clipper,57,,,,
123,Vaseline,58,,,,
123,Air freshener,59,,,,
123,MEDICINE,60,,,,
123,Mine,61,,,,
123,Partner’s,62,,,,
123,Kid’s,63,,,,
123,Allergy,64,,,,
123,"First-Aid Kit – w/band aids, ointment, etc.",65,,,,
123,Vitamins,66,,,,
123,Motrin,67,,,,
123,Benadryl,68,,,,
123,BEACH STUFF,69,,,,
123,Beach towels,70,,,,
123,Umbrellas,71,,,,
123,Canopy/tent,72,,,,
123,Blankets,73,,,,
123,Chairs,74,,,,
123,Cooler with wheels,75,,,,
123,Smaller portable cooler,76,,,,
123,Beach Cart/portable wheels,77,,,,
123,Beach toys (or buy there),78,,,,
123,Goggles,79,,,,
123,Floats,80,,,,
123,Big beach bag,81,,,,
123,Waterproof or plastic bag for wallet/cell phones,82,,,,
123,Smaller beach bag or drawstring bag for kids to carry,83,,,,
123,Drinks,84,,,,
123,Food,85,,,,
123,Plastic-ware,86,,,,
123,Napkins,87,,,,
123,Bottle opener,88,,,,
123,Garbage bag/plastic bags,89,,,,
123,Waterproof sunscreen,90,,,,
123,More waterproof sunscreen,91,,,,
123,Lip balm/protector,92,,,,
123,Bug spray,93,,,,
123,Hair brush,94,,,,
123,Hats,95,,,,
123,Sun glasses,96,,,,
123,Hand sanitizer ,97,,,,
123,Wipes,98,,,,
123,ENTERTAINMENT/TECH,99,,,,
123,Waterproof Camera,100,,,,
123,Digital Camera,101,,,,
123,Laptop,102,,,,
123,iPad,103,,,,
123,Portable speakers,104,,,,
123,DVDs,105,,,,
123,Cords & chargers,106,,,,
123,Books,107,,,,
123,Magazines,108,,,,
123,Frisbee,109,,,,
123,Basketball,110,,,,
123,Nerf Football,111,,,,
123,Tennis Bag,112,,,,
123,Playstation 3 & Video games (for rainy days),113,,,,
123,Batteries,114,,,,
123,Deck of cards,115,,,,
123,Board games,116,,,,
123,"Card games – UNO, etc",117,,,,
123,Note pads,118,,,,
123,Pens & colored pencils,119,,,,
123,RENTAL HOUSE NEEDS,120,,,,
123,Pillows,121,,,,
123,Extra sheets for pullout couch,122,,,,
123,Disinfecting cleaning wipes,123,,,,
123,Portable hamper,124,,,,
123,BRING OR BUY,125,,,,
123,Paper towels,126,,,,
123,Napkins,127,,,,
123,Plastic-ware,128,,,,
123,Laundry detergent,129,,,,
123,Dryer sheets,130,,,,
123,Stain remover,131,,,,
123,Food,132,,,,
123,Drinks,133,,,,
123,Beer,134,,,,
123,Wine,135,,,,
123,Scented candles,136,,,,
123,Flashlight,137,,,,
123,FOR CAR RIDE,138,,,,
123,Car chargers,139,,,,
123,Snacks & drinks,140,,,,
123,Garbage/plastic bag,141,,,,
123,Portable items from Entertainment List,142,,,,
123,LEAVING HOME,143,,,,
123,House sitter,144,,,,
123,Dog sitter ,145,,,,
123,Dog food,146,,,,
123,Garbage,147,,,,
123,Empty fridge,148,,,,
123,Mail,149,,,,
123,Money,150,,,,
123,Bills,151,,,,
123,Thermostat,152,,,,
123,Lock up!,153,,,,
124,Hilton Waikoloa Village (Hawaii),1,,,,
124,Kingsmill Resort (Virginia),2,,,,
124,Tanque Verde Ranch (Arizona),3,,,,
124,Circus Circus (Las Vegas),4,,,,
124,Out 'n' About Treesort (Oregon),5,,,,
124,Snowbird Ski and Summer Resort (Utah),6,,,,
124,Omni La Costa Resort and Spa (California),7,,,,
124,Disney's Animal Kingdom Lodge (Florida),8,,,,
125,"Kalahari Resort (Wisconsin Dells, WI)",1,,,,
125,"Water Country USA (Williamsburg, VA)",2,,,,
125,"Dollywood Splash Country (Pigeon Forge, TN)",3,,,,
125,"Pump House Indoor Waterpark (Jay, VT)",4,,,,
125,"Carowinds Boomerang Bay (Charlotte, NC)",5,,,,
125,"Cliff's Amusement Park WaterMania! (Albuquerque, NM)",6,,,,
125,"Water Zoo (Clinton, OK)",7,,,,
125,"Enchanted Forest Water Safari (Old Forge, NY)",8,,,,
125,"Wild Island Family Adventure Park (Sparks, NV)",9,,,,
125,"Silver Dollar City White Water Park (Branson, MO)",10,,,,
125,"Avalanche Bay Indoor Waterpark (Boyne Falls, MI)",11,,,,
125,"Schlitterbahn Waterpark (Kansas City, KS)",12,,,,
125,"Holiday World & Splashin' Safari (Santa Claus, IN)",13,,,,
125,"Legoland Florida (Winter Haven, FL)",14,,,,
125,"Roaring Springs Waterpark (Boise, ID)",15,,,,
125,"Wet 'n' Wild (Kapolei, Oahu, HI)",16,,,,
125,"Legoland California Resort (Carlsbad, CA)",17,,,,
125,"Six Flags White Water (Atlanta, GA)",18,,,,
125,"Wet 'n Wild Orlando (Orlando, FL)",19,,,,
126,My Little Pony,1,,,,
126,Hopscotch,2,,,,
126,Guess Who?,3,,,,
126,Moon Shoes,4,,,,
126,Lincoln Logs,5,,,,
126,Lite Brite,6,,,,
126,Transformers,7,,,,
126,Bop It!,8,,,,
126,Mr. Potato Head,9,,,,
126,Easy-Bake Oven,10,,,,
126,Skip-It,11,,,,
126,Operation,12,,,,
126,Tinker Toys,13,,,,
127,Aspire to be an architect,1,,,,
127,Invent a superhero identity,2,,,,
127,Fill up on the funnies,3,,,,
127,Form a family book club,4,,,,
127,Send a Flat Stanley,5,,,,
127,Plan a political platform,6,,,,
127,Launch a family blog,7,,,,
127,Keep the camera rolling,8,,,,
127,Explore other galaxies,9,,,,
127,Learn a second language,10,,,,
127,Celebrate moments every day,11,,,,
128,Don't sleep with your phone next to your bed,1,,,,
128,"At the end of each workday, note what's on your agenda for tomorrow",2,,,,
128,Exercise during the work day,3,,,,
128,Take a break to refresh - even 15 minutes,4,,,,
128,Talk to your manager,5,,,,
129,Avocado & cheese roll-ups,1,,,,
129,Salami & cream cheese sandwich,2,,,,
129,Chickpea and Cucumber Salad With Hummus,3,,,,
129,Spaghetti With Spinach and Sausage,4,,,,
130,Arise Music Festival,1,,,,
130,Austin City Limits,2,,,,
130,Beale Street Music Festival,3,,,,
130,Bonnaroo,4,,,,
130,Boston Calling,5,,,,
130,Bottle Rock,6,,,,
130,Bumbershoot,7,,,,
130,Burning Man,8,,,,
130,Camp Bisco,9,,,,
130,Coachella,10,,,,
130,Desert Trip,11,,,,
130,Electric Daisy Carnival,12,,,,
130,Electric Forest,13,,,,
130,Electric Zoo,14,,,,
130,Firefly Music Festival,15,,,,
130,Free Press Summerfest,16,,,,
130,Gathering of the Vibes,17,,,,
130,Governors Ball,18,,,,
130,Hangout Fest,19,,,,
130,Levitation Fest,20,,,,
130,Lockn’ Festival,21,,,,
130,Lollapalooza,22,,,,
130,The Meadows Music & Art Festival,23,,,,
130,Movement Music Festival,24,,,,
130,Mysteryland USA,25,,,,
130,Newport Folk Festival,26,,,,
130,North Coast Music Festival,27,,,,
130,Okeechobee Music and Arts Festival,28,,,,
130,Outside Lands,29,,,,
130,Panorama Festival,30,,,,
130,Peach Music Festival,31,,,,
130,Sasquatch! Music Festival,32,,,,
130,Shaky Knees,33,,,,
130,South By Southwest,34,,,,
130,Summer Camp,35,,,,
130,Summerfest Milwaukee,36,,,,
130,Telluride Bluegrass Festival,37,,,,
130,Ultra Music Festival,38,,,,
130,Utopiafest,39,,,,
130,Vans Warped Tour,40,,,,
130,Voodoo Experience,41,,,,
130,Wakarusa,42,,,,
131,Write down your financial goals,1,,,,
131,Record every purchase you make,2,,,,
131,Create your spending categories,3,,,,
131,Hold a budget meeting with your spouse,4,,,,
131,Schedule time to create your budget,5,,,,
132,Tweak your budget at the beginning of every month,6,,,,
132,Shaun White's Air + Style Festival,1,,,,
132,South by Southwest (SXSW),2,,,,
132,Ultra Music Festival,3,,,,
132,Coachella,4,,,,
132,Shaky Beats Music Festival,5,,,,
132,Beale Street,6,,,,
132,Shaky Knees Music Festival,7,,,,
132,Hangout Fest,8,,,,
132,Sasquatch! Music Festival,9,,,,
132,Electric Daisy Carnival,10,,,,
132,Governors Ball,11,,,,
132,Bonnaroo,12,,,,
132,Firefly Music Festival,13,,,,
132,Warped Tour,14,,,,
132,KCON,15,,,,
132,Panorama Festival,16,,,,
132,Essence Festival,17,,,,
132,Newport Folk Festival,18,,,,
132,Lollapalooza,19,,,,
132,Made In America,20,,,,
132,Riot Fest,21,,,,
132,Austin City Limits,22,,,,
132,The Fest,23,,,,
132,Voodoo Music Experience,24,,,,
132,Fun Fun Fun Fest,25,,,,
133,BEDROOM,1,,,,
133,Remove everything from under the bed and put away,2,,,,
133,Pick up everything off the floor and put away,3,,,,
133,Bring sheets and pillow cases to laundry,4,,,,
133,ENTERTAINMENT AREA,5,,,,
133,Put video games and movies into correct cases,6,,,,
133,"Organize controllers, games and movies in a drawer, shelf or basket",7,,,,
133,ENTRY,8,,,,
133,Move shoes to closet,9,,,,
133, Move coats to closet,10,,,,
133,"Organize sports gear into bins, backpacks or gymbags",11,,,,
133,CAR,12,,,,
133,"Collect every item from floor, seats and cup holders",13,,,,
133,Sweep the seats and floor carpet with a stiff brush,14,,,,
133,ART CENTER,15,,,,
133,"Throw away dried up markers, pens and paints",16,,,,
133,"Save favorite art pieces, recycle the rest",17,,,,
133,Organize remaining supplies in drawers or baskets,18,,,,
134,Money: Place fresh flowers or a jade plant here. This is also a good spot to keep cash or a valuable treasure.,1,,,,
134,"Reputation: The place to display awards, accolades, and good-luck symbols, like four-leaf clovers.",2,,,,
134,"Relationships: Bring in pairs (especially lovebirds, butterflies & cranes) or an image of two trees intertwined. ",3,,,,
134,Children and creativity: Ideal for a bulletin board or a craft or sewing zone.,4,,,,
134,"Friends and travel: Nice for funny, playful photos, artwork, or a map that reminds you of a favorite trip.",5,,,,
134,Career: This area should be as well lit. Put something here that relates to your passion and/or your job.,6,,,,
134,"Knowledge: Create a reading nook or an intimate spot for conversation. If you meditate, this is a great place for it.",7,,,,
134,Family and health: It’s really important to keep this area clean. And it’s the perfect spot for a family-photo wall.,8,,,,
135,"Sell what you already have: your knowledge. Package your expertise into a webinar, e-book or newsletter.",1,,,,
135,The Etsy route: sell your crafts online.,2,,,,
135,Drop shipping: set up a storefront but let a distributor handle inventory & shipping.,3,,,,
135,Affiliate marketing: promote a company’s product on your blog and earn commissions,4,,,,
135,"Sell DIY patterns and designs. This can include blueprints, construction designs, prefab kits  and sewing patterns.",5,,,,
136,Dog toys,1,,,,
136,Dog treats,2,,,,
